Event Number,Company Name,Company City,Company Postal Code,Company Province/Territory,Circumstance(s),Result Of A Class Location Change,Distance To Closest Building,Length Of Replacement Pipe,Integrity Dig,Dig Count,Activity Unplanned,Commencement Date,Completion Date,Event Creation Date,Submission Date,Pipeline Name,Pipeline Outside Diameter,Pipeline Length,Commodity Carried,Facility Name,Facility Type,Province/Territory,Nearest Populated Centre,New Land Area Needed,New Permanent Land Needed,Activity Acquiring New Private Land,Activity Acquiring New Land In Agreement With Landowner,Activity Acquiring New Land Under Compliance,Land Within Critical Habitat,New Temporary Land Needed,Provincial and federal authorities been consulted,Activity Crossing Water Body,Vehicle Crossing Count,Activity Following DFO Fish Measures For Crossing,Ground Disturbance Near Water Required,Fish Present,In Stream Work Required,Activity Following DFO Fish Measures For In Stream Work,Species At Risk Present At Activity Site,Activity Using Navigable Water,Navigable Water Frozen Or Dry,Navigable Water Activity Meeting Transport Canada Minor Works And Waters Order,In Stream Activity Start Date,In Stream Activity End Date,Restricted Activity Start Date,Restricted Activity End Date
OM2016-011,NOVA Gas Transmission Ltd.,Calgary,T2P5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,,No,07/25/2016,10/31/2016,02/01/2016,02/01/2016,BURNT TIMBER LATERAL -NPS 12,,,,,,Alberta,Water Valley,,,No,No,No,No,,,Yes,1.0,Yes,Yes,Yes,Yes,No,No,Yes,No,No,08/01/2016,10/31/2016,09/01/2016,04/30/2017
OM2016-010,NOVA Gas Transmission Ltd.,Calgary ,T2P 5H1,Alberta,New temporary or permanent land is required that is within critical habitat for any Endangered or Threatened species listed on Schedule 1 of the federal Species at Risk Act or is to be acquired in accordance with sections 320-322 of the CER Act.,,,,No,,No,08/03/2016,09/30/2016,01/28/2016,01/28/2016,WAS M/L - NPS 36,,,,,,Alberta,Stavely,,,No,No,Yes,No,,,Yes,1.0,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,08/15/2016,09/30/2016,09/01/2016,08/15/2017
OM2016-010,NOVA Gas Transmission Ltd.,Calgary ,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,,No,08/03/2016,09/30/2016,01/28/2016,01/28/2016,WAS M/L - NPS 36,,,,,,Alberta,Stavely,,,No,No,Yes,No,,,Yes,1.0,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,08/15/2016,09/30/2016,09/01/2016,08/15/2017
OM2016-009,Enbridge Pipelines Inc.,Calgary,T2P 3L8,Ontario,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",,150.0,,Yes,1.0,No,02/26/2016,08/31/2016,01/27/2016,01/27/2016,Line 10,,,,,,Ontario,"Niagara Falls, ON",,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2016-009,Enbridge Pipelines Inc.,Calgary,T2P 3L8,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,150.0,,Yes,1.0,No,02/26/2016,08/31/2016,01/27/2016,01/27/2016,Line 10,,,,,,Ontario,"Niagara Falls, ON",,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2016-008,Enbridge Southern Lights GP Inc. on behalf of Enbridge Southern Lights LP,Edmonton,T5J 3N7,Saskatchewan,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,02/26/2016,08/31/2016,01/27/2016,01/27/2016,Line 13,,,,,,Saskatchewan,Bethune SK,,,No,No,No,No,,,No,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,,,
OM2016-007,Enbridge Southern Lights GP Inc. on behalf of Enbridge Southern Lights LP,Edmonton,T5J 3N7,Saskatchewan,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,Yes,02/03/2016,08/31/2016,01/27/2016,01/27/2016,Line 13,,,,,,Saskatchewan,Fairlight SK,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2016-006,Trans-Northern Pipelines Inc.,Richmond hill,L4B 3P6,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,5.0,,Yes,34.0,No,02/24/2016,12/22/2016,01/26/2016,01/26/2016,Mainline,,,,Pipeline Integrity Digs will only take place on pipeline assets not within facility compounds. ,Other Facility,Ontario,Various Locations as per the attached documents. ,,,No,No,No,No,,,Yes,0.0,Yes,Yes,Yes,No,No,No,No,No,No,,,,
OM2016-006,Trans-Northern Pipelines Inc.,Richmond hill,L4B 3P6,Ontario,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",,5.0,,Yes,34.0,No,02/24/2016,12/22/2016,01/26/2016,01/26/2016,Mainline,,,,Pipeline Integrity Digs will only take place on pipeline assets not within facility compounds. ,Other Facility,Ontario,Various Locations as per the attached documents. ,,,No,No,No,No,,,Yes,0.0,Yes,Yes,Yes,No,No,No,No,No,No,,,,
OM2016-005,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,7.0,Yes,01/27/2016,03/15/2016,01/25/2016,01/25/2016,NORTH CENTRAL CORRIDOR (RED EARTH SECTION),1066.8,160.0,Natural Gas,,,Alberta,Red Earth Creek,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2016-004,Trans-Northern Pipelines Inc.,Richmond Hill,L4B3P6,Ontario,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",,5.0,,Yes,54.0,No,02/23/2016,12/22/2016,01/19/2016,01/25/2016,Mainline,,,,Pipeline Integrity Digs will only take place on pipeline assets not within facility compounds.,Other Facility,Ontario,Various Locations as per the attached documents.,,,No,No,No,No,,,Yes,0.0,Yes,Yes,Yes,No,No,No,No,No,No,,,,
OM2016-004,Trans-Northern Pipelines Inc.,Richmond Hill,L4B3P6,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,5.0,,Yes,54.0,No,02/23/2016,12/22/2016,01/19/2016,01/25/2016,Mainline,,,,Pipeline Integrity Digs will only take place on pipeline assets not within facility compounds.,Other Facility,Ontario,Various Locations as per the attached documents.,,,No,No,No,No,,,Yes,0.0,Yes,Yes,Yes,No,No,No,No,No,No,,,,
OM2016-003,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",,155.0,,Yes,1.0,No,02/23/2016,08/23/2016,01/22/2016,01/23/2016,FERRIER NORTH LATERAL - NPS 18,,,,,,Alberta,Rocky Mountain House ,,,No,No,No,No,,,No,,No,No,No,No,No,No,No,No,No,,,,
OM2016-002,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,2.0,No,02/16/2016,08/16/2016,01/17/2016,01/17/2016,North Central Corridor (Red Earth),1066.8,160.0,Natural Gas,Goodfish Compressor Station,Prime Mover,Alberta,Red Earth,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2016-001,NOVA Gas Transmission Ltd.,Calgary ,T2P5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,Yes,01/13/2016,01/31/2016,01/12/2016,01/12/2016,North West Mainline Loop ,406.4,77.2,Natural Gas,,,Alberta,Fairview,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2015-527,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,,No,04/07/2016,10/07/2016,12/14/2015,03/07/2016,BELLOY LATERAL - NPS 10,,,,,,Alberta,Eaglesham,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2015-526,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",,100.0,,Yes,5.0,No,01/25/2016,07/25/2016,12/23/2015,12/23/2015,FERRIER SOUTH LATERAL - NPS 8,,,,,,Alberta,Rocky Mountain House,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2015-526,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,100.0,,Yes,5.0,No,01/25/2016,07/25/2016,12/23/2015,12/23/2015,FERRIER SOUTH LATERAL - NPS 8,,,,,,Alberta,Rocky Mountain House,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2015-525,TransCanada PipeLines Limited,Calgary,T2P 5H1,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,2.0,No,01/25/2016,07/25/2016,12/23/2015,12/23/2015,Line 100-2 (Central),,,,,,Ontario,Mattice,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2015-524,Enbridge Pipelines Inc.,Calgary,T2P 3L8,Ontario,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",,43.0,,Yes,1.0,No,01/21/2016,07/31/2016,12/18/2015,12/18/2015,Line 9,,,,,,Ontario,"Cambridge, ON",,,No,No,No,No,,,No,,No,No,No,No,No,No,No,No,No,,,,
OM2015-523,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,,No,01/16/2016,07/16/2016,12/15/2015,12/15/2015,NORTH LATERAL EXTENSION LOOP - NPS 20,,,,N110 ,Valve,Alberta,Vegreville,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2015-522,Trans Mountain Pipeline ULC,Calgary,T2P 5J2,British Columbia,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,01/19/2016,02/29/2016,12/15/2015,12/15/2015,Mainline,,,,,,British Columbia,Blue River,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2015-521,Trans Mountain Pipeline ULC,Calgary,T2P 5J2,British Columbia,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,07/15/2016,08/15/2016,12/14/2015,12/15/2015,Mainline,,,,,,British Columbia,Blue River,,,No,No,No,No,,,No,,No,Yes,Yes,Yes,Yes,Yes,No,No,No,07/15/2016,08/15/2016,08/16/2016,07/14/2017
OM2015-520,Trans Mountain Pipeline ULC,Calgary,T2P 5J2,British Columbia,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,2.0,No,01/18/2016,02/29/2016,12/14/2015,12/15/2015,Mainline,,,,,,British Columbia,Blue River,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2015-519,TransCanada PipeLines Limited,Calgary,T2P 5H1,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,01/16/2016,07/16/2016,12/15/2015,12/15/2015,Line 100-2 (Central),,,,,,Ontario,Upsala,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2015-518,TransCanada PipeLines Limited,Calgary,T2P 5H1,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,8.0,No,01/16/2016,07/16/2016,12/15/2015,12/15/2015,Line 100-2 (Central),,,,,,Ontario,Longlac,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2015-517,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,01/15/2016,07/15/2016,12/14/2015,12/14/2015,WESTLOCK LATERAL - NPS 6,,,,,,Alberta,Westlock,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2015-516,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,4.0,No,01/15/2016,07/15/2016,12/14/2015,12/14/2015,NORTHWEST M/L (BOUNDARY LAKE SECTION) - NPS 36,,,,NW80 Valve Site,Valve,Alberta,Peejay,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2015-515,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,2.0,No,01/15/2016,07/15/2016,12/14/2015,12/14/2015,ETZIKOM LATERAL- NPS 10,,,,,,Alberta,Seven Persons,,,No,No,No,No,,,No,,No,Yes,Yes,Yes,Yes,No,No,No,No,,,,
OM2015-514,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,01/15/2016,07/15/2016,12/14/2015,12/14/2015,,,,,Alces Compressor Station,Prime Mover,Alberta,Worsley,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2015-513,Trans Mountain Pipeline ULC,Calgary,T2P 5J2,British Columbia,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,01/18/2016,08/01/2016,12/14/2015,12/14/2015,Mainline,,,,,,British Columbia,"Jasper, Alberta",,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2015-512,NOVA Gas Transmission Ltd.,Calgary ,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,,No,01/14/2016,07/14/2016,12/11/2015,12/11/2015,KIRBY LATERAL - NPS 16,,,,,,Alberta,Lac La Biche,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2015-511,Enbridge Pipelines Inc.,Calgary,T2P 3L8,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,01/14/2016,07/31/2016,12/11/2015,12/11/2015,Line 9,,,,,,Ontario,"Burlington, Ontario",,,No,No,No,No,,,No,,No,Yes,Yes,Yes,Yes,No,No,No,No,,,,
OM2015-510,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,,No,01/13/2016,07/13/2016,12/10/2015,12/10/2015,KIRBY NORTH LATERAL -NPS 8,,,,,,Alberta,Conklin,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2015-509,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,,No,01/13/2016,03/31/2016,12/10/2015,12/10/2015,SUFFIELD LATERAL - NPS 12,,,,,,Alberta,Medicine Hat,,,No,No,No,No,,,Yes,1.0,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,,,,
OM2015-508,Trans Mountain Pipeline ULC,,,British Columbia,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,1.0,No,01/13/2016,01/22/2016,12/03/2015,12/10/2015,Mainline,,,,,,British Columbia,Abbotsford,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2015-507,Plains Midstream Canada ULC,Calgary,T2P 0A7,Ontario,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",,200.0,,Yes,1.0,Yes,12/11/2015,12/26/2015,12/10/2015,12/10/2015,Eastern Delivery System North (EDS-N) - Windsor-Sarnia,,,,,,Ontario,Windsor,,,No,No,No,No,,,No,,No,No,No,No,No,No,No,No,No,,,,
OM2015-506,Centra Transmission Holdings Inc.,,,Ontario,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",,190.0,,Yes,3.0,No,01/18/2016,03/31/2016,12/10/2015,12/10/2015,Rainy River/Fort Frances,,,,,,Ontario,Stratton Ontario,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2015-506,Centra Transmission Holdings Inc.,,,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,190.0,,Yes,3.0,No,01/18/2016,03/31/2016,12/10/2015,12/10/2015,Rainy River/Fort Frances,,,,,,Ontario,Stratton Ontario,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2015-505,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,3.0,No,01/09/2016,07/09/2016,12/08/2015,12/08/2015,MITSUE LATERAL - NPS 8,,,,,,Alberta,Mitsue,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2015-504,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,01/09/2016,07/09/2016,12/08/2015,12/08/2015,KIRBY LATERAL - NPS 16,,,,,,Alberta,Conklin,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2015-503,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,01/08/2016,07/08/2016,12/07/2015,12/07/2015,WAS M/L EXTENSION -NPS 36,,,,,,Alberta,Fox Creek,,,No,No,No,No,,,No,,No,Yes,Yes,Yes,Yes,No,No,No,No,,,,
OM2015-502,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,01/08/2016,07/08/2016,12/07/2015,12/07/2015,WAS M/L EXTENSION -NPS 36,,,,,,Alberta,Whitecourt,,,No,No,No,No,,,No,,No,Yes,Yes,Yes,Yes,No,No,No,No,,,,
OM2015-501,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,01/08/2016,07/08/2016,12/07/2015,12/07/2015,ROBB LATERAL - NPS 20,,,,,,Alberta,Edson,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2015-500,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,01/08/2016,07/08/2016,12/07/2015,12/07/2015,EDSON M/L EXTENSION -NPS 36,,,,,,Alberta,Edson,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2015-499,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,01/08/2016,07/08/2016,12/07/2015,12/07/2015,WAS M/L - NPS 30,,,,,,Alberta,Cynthia,,,No,No,No,No,,,No,,No,Yes,Yes,Yes,Yes,No,No,No,No,,,,
OM2015-498,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,01/08/2016,07/08/2016,12/07/2015,12/07/2015,CUTBANK RIVER LATERAL LOOP (KAKWA SECTION) - NPS 20,,,,,,Alberta,Grande Prairie,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2015-497,Enbridge Pipelines Inc.,Calgary,T2P 3L8,Manitoba,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,01/06/2016,07/29/2016,12/04/2015,12/04/2015,Line 3,,,,,,Manitoba,Glenboro,,,No,No,No,No,,,No,,No,Yes,Yes,Yes,Yes,No,No,No,No,,,,
OM2015-496,Enbridge Pipelines Inc.,Calgary,T2P 3L8,Manitoba,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,01/06/2016,07/29/2016,11/30/2015,12/04/2015,Line 3,,,,,,Manitoba,Glenboro,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2015-495,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,2.0,No,01/05/2016,07/05/2016,12/02/2015,12/02/2015,PEACE RIVER LATERAL LOOP (PHASE I) - NPS 30,,,,,,Alberta,Manning,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2015-494,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,6.0,No,01/05/2016,07/05/2016,12/02/2015,12/02/2015,Peace River Mainline,508.0,144.8,Natural Gas,,,Alberta,Manning,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2015-493,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",,56.0,,Yes,8.0,No,01/05/2016,07/01/2016,12/02/2015,12/02/2015,MARTEN HILLS LATERAL -NPS 20,,,,,,Alberta,Whitecourt,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2015-493,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,56.0,,Yes,8.0,No,01/05/2016,07/01/2016,12/02/2015,12/02/2015,MARTEN HILLS LATERAL -NPS 20,,,,,,Alberta,Whitecourt,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2015-492,Trans Mountain Pipeline ULC,Calgary,T2P 5J2,British Columbia,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,,No,08/15/2016,11/15/2016,11/30/2015,12/02/2015,Mainline,,,,,,British Columbia,Valemount,,,No,No,No,No,,,No,,No,Yes,Yes,Yes,No,No,Yes,Yes,No,09/05/2016,10/30/2016,08/16/2016,07/14/2017
OM2015-491,Enbridge Pipelines Inc.,Calgary,,Manitoba,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,01/04/2016,06/30/2016,12/01/2015,12/01/2015,Line 1,,,,,,Manitoba,St. Alphonse,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2015-490,Enbridge Pipelines Inc.,Calgary,,Saskatchewan,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,01/04/2016,03/31/2016,12/01/2015,12/01/2015,Line 3,,,,,,Saskatchewan,Wawota,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2015-489,Enbridge Pipelines Inc.,Calgary,T2P 3L8,Ontario,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",,175.0,,Yes,1.0,No,12/31/2015,06/30/2016,11/30/2015,11/30/2015,Line 9,,,,,,Ontario,"Oshawa, Ontario",,,No,No,No,No,,,No,,No,No,No,No,No,No,No,No,No,,,,
OM2015-488,Enbridge Pipelines Inc.,Calgary,T2P 3L8,Manitoba,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,12/29/2015,06/30/2016,11/27/2015,11/27/2015,Line 3,,,,,,Manitoba,Nesbitt,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2015-487,Enbridge Pipelines Inc.,Calgary,T2P 3L8,Saskatchewan,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,3.0,No,12/24/2015,06/30/2016,11/25/2015,11/25/2015,Line 1,,,,,,Saskatchewan,Regina,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
