Event Number,Company Name,Company City,Company Postal Code,Company Province/Territory,Circumstance(s),Result Of A Class Location Change,Distance To Closest Building,Length Of Replacement Pipe,Integrity Dig,Dig Count,Activity Unplanned,Commencement Date,Completion Date,Event Creation Date,Submission Date,Pipeline Name,Pipeline Outside Diameter,Pipeline Length,Commodity Carried,Facility Name,Facility Type,Province/Territory,Nearest Populated Centre,New Land Area Needed,New Permanent Land Needed,Activity Acquiring New Private Land,Activity Acquiring New Land In Agreement With Landowner,Activity Acquiring New Land Under Compliance,Land Within Critical Habitat,New Temporary Land Needed,Provincial and federal authorities been consulted,Activity Crossing Water Body,Vehicle Crossing Count,Activity Following DFO Fish Measures For Crossing,Ground Disturbance Near Water Required,Fish Present,In Stream Work Required,Activity Following DFO Fish Measures For In Stream Work,Species At Risk Present At Activity Site,Activity Using Navigable Water,Navigable Water Frozen Or Dry,Navigable Water Activity Meeting Transport Canada Minor Works And Waters Order,In Stream Activity Start Date,In Stream Activity End Date,Restricted Activity Start Date,Restricted Activity End Date
OM2021-320,TransCanada PipeLines Limited,Calgary,T2P 5H1,Ontario,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",False,150.0,,Yes,1.0,No,09/16/2021,03/16/2022,08/18/2021,08/18/2021,Line 900-1,,,,,,Ontario,Sault Sainte Marie,,,No,No,No,No,,,No,,No,No,No,No,No,No,No,No,No,,,,
OM2021-319,TransCanada PipeLines Limited,Calgary,T2P 5H1,Quebec,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",False,186.0,,Yes,1.0,No,09/16/2021,03/16/2022,08/18/2021,08/18/2021,Line 700-1,,,,,,Quebec,Saint-Timothee,,,No,No,No,No,,,No,,No,No,No,No,No,No,No,No,No,,,,
OM2021-318,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,,,No,1.0,No,09/15/2021,01/31/2022,08/17/2021,08/17/2021,,,,,CROW LAKE SALES,,Alberta,Tempo,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2021-317,Westcoast Energy Inc.,Edmonton,T5J 3S4,British Columbia,Removing an existing section of pipe and putting a new section in its place where the replacement is greater than 100 m (but less than 5 km) in length,False,,400.0,No,1.0,Yes,08/31/2021,10/31/2021,08/12/2021,08/16/2021,"SPECTRA - 30"" MAINLINE",,,,,,British Columbia,Quesnel,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2021-317,Westcoast Energy Inc.,Edmonton,T5J 3S4,British Columbia,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,,400.0,No,1.0,Yes,08/31/2021,10/31/2021,08/12/2021,08/16/2021,"SPECTRA - 30"" MAINLINE",,,,,,British Columbia,Quesnel,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2021-316,TransCanada PipeLines Limited,Calgary,T2P 5H1,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,,,Yes,1.0,No,09/10/2021,03/10/2022,08/12/2021,08/12/2021,Line 200-1,,,,,,Ontario,Thorold,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2021-315,TransCanada PipeLines Limited,Calgary,T2P 5H1,Ontario,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",False,20.0,,Yes,1.0,No,09/10/2021,03/10/2022,08/12/2021,08/12/2021,LINE 100-2,,,,,,Ontario,Gravenhurst,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2021-315,TransCanada PipeLines Limited,Calgary,T2P 5H1,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,20.0,,Yes,1.0,No,09/10/2021,03/10/2022,08/12/2021,08/12/2021,LINE 100-2,,,,,,Ontario,Gravenhurst,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2021-314,TransCanada PipeLines Limited,Calgary,T2P 5H1,Ontario,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",False,50.0,,Yes,4.0,No,09/10/2021,03/10/2022,08/12/2021,08/12/2021,Line 200-1,,,,,,Ontario,St. Catherines and Hamilton,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2021-314,TransCanada PipeLines Limited,Calgary,T2P 5H1,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,50.0,,Yes,4.0,No,09/10/2021,03/10/2022,08/12/2021,08/12/2021,Line 200-1,,,,,,Ontario,St. Catherines and Hamilton,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2021-313,Enbridge Pipelines Inc.,Edmonton,T5J 3S4,Manitoba,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,,,No,,No,09/13/2021,11/08/2021,08/12/2021,08/12/2021,Line 1,,,,,,Manitoba,Nedbitt,,,No,No,No,No,,,Yes,4.0,Yes,Yes,No,No,No,No,No,No,No,,,,
OM2021-312,TransCanada PipeLines Limited,Calgary,T2P 5H1,Saskatchewan,"There are unresolved 3rd party concerns (i.e., landowners, Aboriginal groups, shippers, federal and provincial departments, or other parties who may be affected by the O&M activities) and these concerns relate specifically to the proposed O&M activity",False,,,Yes,2.0,No,09/09/2021,03/09/2022,08/11/2021,08/11/2021,Line 100-4,,,,,,Saskatchewan,Pense,,,No,No,No,No,,,No,,No,No,No,No,No,No,No,No,No,,,,
OM2021-311,Kingston Midstream Westspur Limited,Estevan,S4A2K9,Saskatchewan,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,,,No,,No,09/08/2021,09/10/2021,08/09/2021,08/09/2021,Steelman to Alida Pipeline,,,,,,Saskatchewan,Frobisher,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2021-310,TransCanada PipeLines Limited,Calgary,T2P 5H1,Manitoba,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",False,155.0,,Yes,3.0,No,09/06/2021,03/06/2022,08/06/2021,08/06/2021,Line 100-4,,,,,,Manitoba,Winnipeg,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2021-310,TransCanada PipeLines Limited,Calgary,T2P 5H1,Manitoba,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,155.0,,Yes,3.0,No,09/06/2021,03/06/2022,08/06/2021,08/06/2021,Line 100-4,,,,,,Manitoba,Winnipeg,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2021-309,Trans-Northern Pipelines Inc.,Richmond Hill,L4B 4W6,Ontario,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",False,40.0,,Yes,1.0,No,09/03/2021,12/31/2021,08/04/2021,08/04/2021,Nanticoke Lateral,,,,,,Ontario,Caledonia,,,No,No,No,No,,,No,,No,No,No,No,No,No,No,No,No,,,,
OM2021-308,Westcoast Energy Inc.,Edmonton,T5J 3S4,British Columbia,New temporary or permanent land is required that is within critical habitat for any Endangered or Threatened species listed on Schedule 1 of the federal Species at Risk Act or is to be acquired in accordance with sections 320-322 of the CER Act.,False,,,No,,No,09/06/2021,09/24/2021,07/16/2021,08/03/2021,,,,,HUNTINGDON METER STATION (#16),,British Columbia,Abbotsford,0.1,,Yes,Yes,Yes,No,,,Yes,1.0,Yes,Yes,Yes,No,No,No,No,No,No,08/16/2021,09/13/2021,07/22/2021,08/31/2021
OM2021-308,Westcoast Energy Inc.,Edmonton,T5J 3S4,British Columbia,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,,,No,,No,09/06/2021,09/24/2021,07/16/2021,08/03/2021,,,,,HUNTINGDON METER STATION (#16),,British Columbia,Abbotsford,0.1,,Yes,Yes,Yes,No,,,Yes,1.0,Yes,Yes,Yes,No,No,No,No,No,No,08/16/2021,09/13/2021,07/22/2021,08/31/2021
OM2021-307,1057533 Alberta Ltd.,Calgary,T2P2W1,Alberta,New temporary or permanent land is required that is within critical habitat for any Endangered or Threatened species listed on Schedule 1 of the federal Species at Risk Act or is to be acquired in accordance with sections 320-322 of the CER Act.,False,,,No,,Yes,08/01/2021,08/14/2021,08/01/2021,08/01/2021,Hay Pipeline,,,,,,Alberta,Rainbow Lake (Town),0.0,,No,No,No,No,,,Yes,2.0,Yes,Yes,Yes,No,No,No,No,No,No,,,,
