Date,Revenue ($000s),Particulars,Download Link
2018-03-01,287.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-03-01,452.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-04-01,355.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-04-01,1068.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-04-01,1423.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-05-01,130.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-05-01,396.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-05-01,526.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-06-01,513.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-06-01,383.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-06-01,897.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-07-01,927.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-07-01,396.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-07-01,1323.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-08-01,1051.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-08-01,396.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-08-01,1447.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-09-01,365.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-09-01,384.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-09-01,748.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-10-01,153.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-10-01,396.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-10-01,549.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-11-01,161.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-11-01,0.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-11-01,161.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-12-01,882.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-12-01,1642.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-12-01,2524.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2019-01-01,799.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-01-01,5690.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-01-01,6489.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-02-01,143.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-02-01,4098.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-02-01,4241.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-03-01,205.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-03-01,1347.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-03-01,1552.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-04-01,1761.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-04-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-04-01,1761.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-05-01,272.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-05-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-05-01,272.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-06-01,-1338.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-06-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-06-01,-1338.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-07-01,199.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-07-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-07-01,199.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-08-01,48.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-08-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-08-01,48.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-09-01,36.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-09-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-09-01,36.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-10-01,34.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-10-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-10-01,34.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-11-01,174.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-11-01,342.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-11-01,516.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-12-01,227.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-12-01,4002.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-12-01,4229.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2020-01-01,317.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-01-01,4002.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-01-01,4319.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-02-01,355.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-02-01,3744.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-02-01,4099.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-03-01,174.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-03-01,4002.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-03-01,4176.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-04-01,17.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-04-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-04-01,17.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-05-01,48.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-05-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-05-01,48.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-06-01,24.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-06-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-06-01,24.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-07-01,122.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-07-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-07-01,122.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-08-01,6.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-08-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-08-01,6.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-09-01,74.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-09-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-09-01,74.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-10-01,25.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-10-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-10-01,25.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-11-01,142.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-11-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-11-01,142.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-12-01,0.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-12-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-12-01,-9.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
